Assembly	11Lt.canu	11Lt.sspace	11Lt.gapfiller	11Lt.pilon1	11Lt.pilon2	11Lt.pilon3
# contigs (>= 0 bp)	1119	886	886	886	886	886
# contigs (>= 1000 bp)	1119	886	886	886	886	886
# contigs (>= 5000 bp)	1119	886	886	886	886	886
# contigs (>= 10000 bp)	1118	885	885	885	885	885
# contigs (>= 25000 bp)	1006	797	797	797	798	798
# contigs (>= 50000 bp)	604	521	521	521	521	521
Total length (>= 0 bp)	111691875	112187514	112192900	112185270	112180393	112181345
Total length (>= 1000 bp)	111691875	112187514	112192900	112185270	112180393	112181345
Total length (>= 5000 bp)	111691875	112187514	112192900	112185270	112180393	112181345
Total length (>= 10000 bp)	111682840	112178479	112183865	112176235	112171358	112172310
Total length (>= 25000 bp)	109239128	110258743	110264129	110256671	110277244	110277652
Total length (>= 50000 bp)	95292141	100771368	100776754	100766345	100762262	100762619
# contigs	1119	886	886	886	886	886
Largest contig	917151	1052964	1052964	1052696	1052630	1052634
Total length	111691875	112187514	112192900	112185270	112180393	112181345
GC (%)	46.65	46.65	46.65	46.66	46.66	46.66
N50	171948	240886	240886	238466	238469	238470
N75	79137	108187	108187	108323	108339	108341
L50	180	133	133	134	134	134
L75	421	304	304	304	304	304
# N's per 100 kbp	0.00	441.88	356.97	352.19	349.53	348.50
