CAZy,11Lt.76,11Lt.300,11Lt.SR,11Lt.Canu,11Lt.PurgeHap,75Lt.76,75Lt.300,75Lt.SR,10Lt.76,10Lt.300,10Lt.SR,36Lt.76,36Lt.300,36Lt.SR,36Lt.Canu,36Lt.PurgeHap
CE8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GH15+CBM20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GH3+GH3+GH3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GH37+CE10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GH47+GH47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GT1+GT1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GT15+GT15+GT15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GT22+GT22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GT28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CE10+CE10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GH128+GH128,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GH31+GH31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GH5+GT58,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GH79+GH79,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GH88,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
GH95,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
GT3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GT3+GT3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GT32,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
GT48,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PL35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AA3+AA3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
CBM52,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
CBM52+CBM52,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
GT24,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
GT39+GT39,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
GT48+GT48,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
CBM20,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
GH24,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
GH3+GH3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
GH55,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
GH9,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
GT17,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
GT21,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
GT33,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
GT50,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
CE5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
GH28,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
GH5+GH5,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0
GT20+GT20,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
GT48+GH152,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
GH131,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0
GH154,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
GH37,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
GH38,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
GH76,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0
GH85,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
GT35,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
