CAZy,11Lt.76,11Lt.300,11Lt.SR,11Lt.Canu,11Lt.PurgeHap,75Lt.76,75Lt.300,75Lt.SR,10Lt.76,10Lt.300,10Lt.SR,36Lt.76,36Lt.300,36Lt.SR,36Lt.Canu,36Lt.PurgeHap
AA14,2,4,4,7,7,4,4,5,4,5,5,4,4,4,4,4
AA1_1,5,7,7,14,14,7,11,12,6,7,10,8,8,8,8,7
AA1_1+AA1_2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AA1_2,1,2,2,4,4,1,1,1,2,1,1,2,2,2,2,2
AA2,3,3,3,5,5,2,4,5,1,2,2,3,3,3,3,3
AA2+AA2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AA3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AA3_2,12,15,17,17,19,9,14,15,7,9,11,10,10,10,10,10
AA3_2+AA3_2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
AA3_3,1,2,2,3,3,4,3,3,2,2,1,2,2,2,2,2
AA5,0,0,0,4,4,0,0,0,1,0,0,1,1,1,1,1
AA5_1,5,7,8,9,10,5,6,8,4,5,6,5,5,5,5,5
AA6,2,3,3,4,4,3,4,4,2,3,3,2,2,2,2,2
AA7,6,6,6,11,13,6,7,7,1,7,7,8,8,8,8,8
AA9,5,6,6,8,9,2,3,5,3,4,4,5,5,5,5,5
CBM13,3,6,6,5,5,4,4,5,4,7,8,4,4,4,4,4
CBM20,1,2,2,2,2,0,0,0,1,1,1,1,1,1,1,1
CBM21,2,2,2,1,1,1,2,3,1,2,1,2,2,2,2,2
CBM52,1,1,1,2,2,0,0,0,1,0,0,1,1,1,1,1
CBM52+CBM52,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
CE1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CE10,12,19,21,32,34,7,10,13,10,16,19,19,20,20,21,21
CE10+CE10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CE16,3,4,4,6,7,2,5,6,3,4,4,3,3,3,3,3
CE4,6,6,6,12,12,7,6,7,4,5,5,8,8,8,8,8
CE5,1,0,2,1,1,2,2,2,1,1,1,1,1,1,1,1
CE8,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
GH105,3,8,8,10,10,5,9,8,2,5,7,4,5,5,5,5
GH12,0,2,2,4,4,1,2,2,1,2,2,3,3,3,3,3
GH128,6,8,8,12,12,5,8,7,5,6,7,6,7,7,7,7
GH128+GH128,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GH131,1,1,1,3,3,1,1,1,1,2,2,1,1,1,1,1
GH13_1,2,3,3,4,4,2,3,5,2,3,3,2,2,2,2,2
GH13_1+GH13_1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1
GH13_22,2,2,2,1,1,1,1,2,3,2,3,1,1,1,1,1
GH13_22+GH13_22,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1
GH13_22+GH13_22+GH13_22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GH13_25,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
GH13_40,3,6,6,6,7,2,4,4,3,4,5,3,4,4,4,4
GH13_5,2,2,2,1,1,0,0,0,1,2,2,1,1,1,1,1
