Sample,Strain,total k-mers,start of distrivution,end of distribution,max freq point,Genome size,Genome size (Mbp),single copy region,Single copy (%)
10Lt.300.19-mer.histo,CA15-F10,3044,3,28,6,"129,356,958",129.36,"97,353,714",0.75
10Lt.300.23-mer.histo,CA15-F10,2795,3,28,6,"124,465,680",124.47,"96,965,159",0.78
10Lt.300.27-mer.histo,CA15-F10,2599,3,28,6,"119,976,648",119.98,"95,892,821",0.80
10Lt.300.31-mer.histo,CA15-F10,2502,3,28,5,"138,929,727",138.93,"113,292,700",0.82
10Lt.300.35-mer.histo,CA15-F10,2441,3,25,5,"134,162,211",134.16,"109,316,631",0.81
10Lt.76.19-mer.histo,CA15-F10,6658,5,55,13,"134,619,987",134.62,"91,950,575",0.68
10Lt.76.23-mer.histo,CA15-F10,5846,4,50,11,"140,009,461",140.01,"99,282,680",0.71
10Lt.76.27-mer.histo,CA15-F10,5142,4,45,9,"148,228,640",148.23,"107,983,318",0.73
10Lt.76.31-mer.histo,CA15-F10,4566,3,37,7,"163,626,980",163.63,"119,571,954",0.73
10Lt.76.35-mer.histo,CA15-F10,4053,3,34,6,"159,196,846",159.20,"119,965,360",0.75
11Lt.300.19-mer.histo,CA15-11,4367,4,44,11,"125,768,948",125.77,"93,200,713",0.74
11Lt.300.23-mer.histo,CA15-11,3863,4,42,10,"133,375,348",133.38,"101,732,533",0.76
11Lt.300.27-mer.histo,CA15-11,3517,3,42,10,"129,200,493",129.20,"101,640,520",0.79
11Lt.300.31-mer.histo,CA15-11,3286,3,39,10,"124,849,043",124.85,"99,212,604",0.79
11Lt.300.35-mer.histo,CA15-11,3104,3,37,9,"134,116,511",134.12,"107,733,426",0.80
11Lt.76.19-mer.histo,CA15-11,9341,11,120,31,"138,761,564",138.76,"95,149,591",0.69
11Lt.76.23-mer.histo,CA15-11,8817,9,100,28,"135,881,654",135.88,"93,995,019",0.69
11Lt.76.27-mer.histo,CA15-11,8010,8,93,24,"138,339,056",138.34,"99,840,734",0.72
11Lt.76.31-mer.histo,CA15-11,7145,6,80,20,"142,712,086",142.71,"104,513,368",0.73
11Lt.76.35-mer.histo,CA15-11,6304,5,72,17,"141,169,875",141.17,"106,441,414",0.75
36Lt.300.19-mer.histo,EF-36,6020,9,68,36,"62,358,256",62.36,"41,808,437",0.67
36Lt.300.23-mer.histo,EF-36,5361,9,69,35,"61,812,235",61.81,"43,352,063",0.70
36Lt.300.27-mer.histo,EF-36,4915,8,69,34,"61,376,894",61.38,"44,460,269",0.72
36Lt.300.31-mer.histo,EF-36,4553,8,66,32,"62,897,927",62.90,"46,324,806",0.74
36Lt.300.35-mer.histo,EF-36,4303,8,70,31,"62,634,213",62.63,"47,783,589",0.76
36Lt.76.19-mer.histo,EF-36,10001,35,250,124,"66,837,985",66.84,"43,686,533",0.65
36Lt.76.23-mer.histo,EF-36,9999,29,220,110,"66,754,399",66.75,"44,707,191",0.67
36Lt.76.27-mer.histo,EF-36,9985,24,220,95,"67,506,458",67.51,"47,697,359",0.71
36Lt.76.31-mer.histo,EF-36,9873,24,189,80,"68,813,502",68.81,"49,348,730",0.72
36Lt.76.35-mer.histo,EF-36,9510,16,180,66,"70,048,375",70.05,"52,086,596",0.74
75Lt.300.19-mer.histo,CA15-75,5415,5,70,16,"121,786,178",121.79,"91,848,495",0.75
75Lt.300.23-mer.histo,CA15-75,4941,5,62,15,"125,163,436",125.16,"95,422,444",0.76
75Lt.300.27-mer.histo,CA15-75,4629,4,60,14,"129,490,465",129.49,"100,890,474",0.78
75Lt.300.31-mer.histo,CA15-75,4390,4,57,14,"124,929,724",124.93,"98,652,704",0.79
75Lt.300.35-mer.histo,CA15-75,4184,4,56,13,"129,839,357",129.84,"104,183,071",0.80
75Lt.76.19-mer.histo,CA15-75,9988,18,210,53,"130,265,932",130.27,"91,898,101",0.71
75Lt.76.23-mer.histo,CA15-75,9964,15,185,47,"129,983,948",129.98,"93,854,975",0.72
75Lt.76.27-mer.histo,CA15-75,9869,13,172,40,"133,270,860",133.27,"99,340,282",0.75
75Lt.76.31-mer.histo,CA15-75,9653,11,145,34,"134,528,164",134.53,"101,026,727",0.75
75Lt.76.35-mer.histo,CA15-75,9146,8,132,29,"132,539,091",132.54,"102,097,586",0.77
