#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment
scaffold391|size72532|pilon|pilon|pilon	scaffold266|size258311|pilon|pilon|pilon	scaffold370|size155732|pilon|pilon|pilon	85.79	473.52	REPEAT
scaffold434|size60271|pilon|pilon|pilon	scaffold110|size402519|pilon|pilon|pilon	scaffold207|size353643|pilon|pilon|pilon	99.96	147.46	HAPLOTIG
scaffold557|size41597|pilon|pilon|pilon	scaffold110|size402519|pilon|pilon|pilon	scaffold109|size460023|pilon|pilon|pilon	76.24	567.97	REPEAT
scaffold752|size27121|pilon|pilon|pilon	scaffold8|size659001|pilon|pilon|pilon	scaffold597|size36959|pilon|pilon|pilon	90.96	134.61	HAPLOTIG
scaffold881|size16866|pilon|pilon|pilon	scaffold261|size199567|pilon|pilon|pilon	scaffold64|size328606|pilon|pilon|pilon	99.92	208.26	HAPLOTIG
scaffold882|size15017|pilon|pilon|pilon	scaffold348|size84225|pilon|pilon|pilon	scaffold108|size437298|pilon|pilon|pilon	99.89	244.07	HAPLOTIG
scaffold883|size13991|pilon|pilon|pilon	scaffold151|size183424|pilon|pilon|pilon	scaffold22|size498803|pilon|pilon|pilon	99.93	198.99	HAPLOTIG
scaffold884|size13475|pilon|pilon|pilon	scaffold705|size29324|pilon|pilon|pilon	scaffold56|size605272|pilon|pilon|pilon	99.16	206.50	HAPLOTIG
scaffold885|size10847|pilon|pilon|pilon	scaffold138|size199405|pilon|pilon|pilon	scaffold55|size619430|pilon|pilon|pilon	99.94	210.95	HAPLOTIG
scaffold886|size9035|pilon|pilon|pilon	scaffold56|size605272|pilon|pilon|pilon	scaffold705|size29324|pilon|pilon|pilon	97.19	202.43	HAPLOTIG
#contigs_kept
scaffold9|size1052964|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold5|size993226|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold4|size954425|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold1|size917151|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold3|size905253|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold6|size898622|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold2|size888742|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold25|size809102|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold14|size793017|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold46|size767205|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold7|size716681|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold15|size700601|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold18|size683301|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold16|size679563|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold8|size659001|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold55|size619430|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold58|size611457|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold13|size607142|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold10|size610857|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold11|size605209|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold56|size605272|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold75|size598441|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold12|size598331|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold86|size574225|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold76|size560071|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold17|size541183|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold67|size535948|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold23|size521573|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold19|size522466|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold79|size513152|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold20|size510695|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold123|size507914|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold21|size500086|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold26|size499105|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold22|size498803|pilon|pilon|pilon	-	-	-	-	KEEP
